Wydział;Kierunek;Grupa_ogolna;Wada;Ilosc;Kategoria_wady
Z3WD;EX;Drzwi;Wada powierzchni - Powierzchnia laminowana/lamistone/silikstone (poza odchodzeniem foli);9;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni - Powierzchnia laminowana/lamistone/silikstone (poza odchodzeniem foli);2;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni - Powierzchnia laminowana/lamistone/silikstone (poza odchodzeniem foli);3;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni - Powierzchnia okleinowana;3;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni - Powierzchnia okleinowana;2;Wady powierzchni
Z3WD;PL;Listwa,opaska,panel kpl;Wada powierzchni - Powierzchnia okleinowana;3;Wady powierzchni
Z3WD;PL;Listwa,opaska,panel szt;Wada powierzchni - Powierzchnia okleinowana;10;Wady powierzchni
Z1WD;PL;Drzwi;Wada powierzchni - powierzchnia malowana;31;Wady powierzchni
Z1WD;PL;Futryny;Wada powierzchni - powierzchnia malowana;24;Wady powierzchni
Z1WD;PL;Listwa,opaska,panel kpl;Wada powierzchni - powierzchnia malowana;2;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni - powierzchnia malowana;3;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni - powierzchnia malowana;1;Wady powierzchni
Z4WD;PL;Drzwi;Wada powierzchni - powierzchnia malowana;7;Wady powierzchni
Z4WD;PL;Futryny;Wada powierzchni - powierzchnia malowana;8;Wady powierzchni
Z4WF;PL;Drzwi;Wada powierzchni - powierzchnia malowana;1;Wady powierzchni
Z4WD;EX;Futryny;Wada powierzchni - Łuszczenie faby ;1;Wady powierzchni
Z4WD;PL;Drzwi;Wada powierzchni - Łuszczenie faby ;1;Wady powierzchni
Z4WD;PL;Futryny;Wada powierzchni - Łuszczenie faby ;30;Wady powierzchni
Z4WD;PL;Listwa,opaska,panel kpl;Wada powierzchni - Łuszczenie faby ;1;Wady powierzchni
Z2WF;EX;Drzwi;Wada powierzchni- odchodzenie foli Powierzchnia ecotop/hightop/unimat plus;3;Wady powierzchni
Z2WF;PL;Drzwi;Wada powierzchni- odchodzenie foli Powierzchnia ecotop/hightop/unimat plus;28;Wady powierzchni
Z2WF;PL;Futryny;Wada powierzchni- odchodzenie foli Powierzchnia ecotop/hightop/unimat plus;12;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni- odchodzenie foli Powierzchnia ecotop/hightop/unimat plus;12;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni- odchodzenie foli Powierzchnia ecotop/hightop/unimat plus;1;Wady powierzchni
Z2WD;PL;Drzwi;Wada powierzchni- odchodzenie foli Powierzchnia laminowane/lamistone/silkstone;1;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni- odchodzenie foli Powierzchnia laminowane/lamistone/silkstone;8;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni- odchodzenie foli Powierzchnia laminowane/lamistone/silkstone;1;Wady powierzchni
